Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Noun_freq
ninnies,9,9,9,9,0.18,1.0,0.11,1.0,noun,9.0,1.0,noun,9,9
okolehao,9,1,7,1,0.18,1.0,0.01,0.301,noun,9.0,1.0,noun,9,9
palookas,9,8,9,8,0.18,1.0,0.1,0.9542,noun,9.0,1.0,noun,9,9
pericardiocentesis,9,9,3,3,0.18,1.0,0.11,1.0,noun,9.0,1.0,noun,9,9
promazine,9,2,8,2,0.18,1.0,0.02,0.4771,noun,9.0,1.0,noun,9,9
quints,9,2,9,2,0.18,1.0,0.02,0.4771,noun,9.0,1.0,noun,9,9
reshoots,11,6,10,6,0.22,1.0792,0.07,0.8451,noun,9.0,0.82,noun.verb,9.2,9
sawbones,9,9,8,8,0.18,1.0,0.11,1.0,noun,9.0,1.0,noun,9,9
shinbone,15,4,4,3,0.29,1.2041,0.05,0.6990000000000001,noun,9.0,0.6,noun.name.verb,9.5.1,9
smalltime,9,6,8,6,0.18,1.0,0.07,0.8451,noun,9.0,1.0,noun,9,9
subbasement,9,7,8,6,0.18,1.0,0.08,0.9031,noun,9.0,1.0,noun,9,9
sweatbox,9,8,9,8,0.18,1.0,0.1,0.9542,noun,9.0,1.0,noun,9,9
thingamajig,11,11,10,10,0.22,1.0792,0.13,1.0792,noun,9.0,0.82,noun.verb,9.2,9
whorehouses,10,9,10,9,0.2,1.0414,0.11,1.0,noun,9.0,1.0,noun,9,9
wildebeests,9,5,8,5,0.18,1.0,0.06,0.7782,noun,9.0,1.0,noun,9,9
wildwind,27,1,0,0,0.53,1.4472,0.01,0.301,name,16.0,0.59,name.noun.verb,16.9.2,9
yardarm,10,9,9,8,0.2,1.0414,0.11,1.0,noun,9.0,0.9,noun.name,9.1,9
bankbook,8,8,8,8,0.16,0.9542,0.1,0.9542,noun,8.0,1.0,noun,8,8
bellyaching,22,22,22,22,0.43,1.3617,0.26,1.3617,verb,14.0,0.64,verb.noun,14.8,8
bohunk,9,5,9,5,0.18,1.0,0.06,0.7782,noun,8.0,0.89,noun.verb,8.1,8
bordereau,8,1,8,1,0.16,0.9542,0.01,0.301,noun,8.0,1.0,noun,8,8
brainpan,8,7,8,7,0.16,0.9542,0.08,0.9031,noun,8.0,1.0,noun,8,8
britisher,8,6,0,0,0.16,0.9542,0.07,0.8451,noun,8.0,1.0,noun,8,8
cabalism,8,1,7,1,0.16,0.9542,0.01,0.301,noun,8.0,1.0,noun,8,8
cellblocks,9,4,8,3,0.18,1.0,0.05,0.6990000000000001,noun,8.0,1.0,noun,8,8
chiselers,7,6,6,5,0.14,0.9031,0.07,0.8451,noun,8.0,1.0,noun,8,8
cushie,8,1,0,0,0.16,0.9542,0.01,0.301,noun,8.0,0.67,noun.name,8.4,8
faddle,9,6,5,3,0.18,1.0,0.07,0.8451,noun,8.0,0.89,noun.verb,8.1,8
faggotry,9,2,8,2,0.18,1.0,0.02,0.4771,noun,8.0,0.89,noun.name,8.1,8
fuckheads,8,7,7,6,0.16,0.9542,0.08,0.9031,noun,8.0,1.0,noun,8,8
headsman,8,5,6,4,0.16,0.9542,0.06,0.7782,noun,8.0,1.0,noun,8,8
highballs,8,8,7,7,0.16,0.9542,0.1,0.9542,noun,8.0,1.0,noun,8,8
hili,10,8,0,0,0.2,1.0414,0.1,0.9542,noun,8.0,0.8,noun.name.adjective,8.1.1,8
hophead,8,5,8,5,0.16,0.9542,0.06,0.7782,noun,8.0,1.0,noun,8,8
