Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Noun_freq,Web_freq
wife,17795,4811,noun.name,17782.1,17782,46946408.0
work,40699,7670,verb.noun,23059.17612,17612,419483948.0
head,18947,6294,noun.verb.adjective.name,17392.1218.306.7,17392,113316224.0
school,16989,4531,noun.verb.name,16973.23.2,16973,343057316.0
problem,16833,5872,noun,16812,16812,141012024.0
kid,17299,4625,noun.verb.name,16701.557.3,16701,22011943.0
business,16371,5186,noun,16350,16350,637134177.0
days,15592,5801,noun,15592,15592,305147791.0
friends,15578,5484,noun.verb.name,15561.4.2,15561,110732827.0
miss,23850,5432,noun.verb.name,15492.8330.13,15492,39897915.0
kids,15356,4510,noun.verb,15344.15,15344,96602880.0
honey,15325,4185,noun.name,15257.22,15257,9978043.0
stuff,15653,5429,noun.verb,14883.765,14883,81444510.0
door,14895,5286,noun,14863,14863,56638839.0
right,204428,8320,adverb.adjective.noun.verb.name,148137.41292.14475.200.76,14475,273620358.0
brother,14481,3795,noun.name,14452.13,14452,34273892.0
year,14174,4981,noun,14154,14154,451092583.0
minutes,13924,5208,noun.verb,13884.19,13884,96242209.0
doctor,13461,3703,noun.verb.name,13350.28.11,13350,39845710.0
phone,13756,4502,noun.verb.name,13225.512.2,13225,256643812.0
hand,14262,5562,noun.verb.name,13177.1049.20,13177,121296661.0
cause,15812,4946,noun.verb,13050.2732,13050,65904680.0
part,13337,5604,noun.adverb.verb.preposition.name,12942.209.125.49.2,12942,302729303.0
town,12644,4116,noun.name,12608.32,12608,90478880.0
mind,24715,6870,noun.verb.name,12457.12222.1,12457,75393868.0
heart,12453,4582,noun.name,12443.1,12443,90249265.0
care,24748,6945,verb.noun,12467.12278,12278,225326739.0
number,12288,4542,noun.verb.name.adjective,12247.29.4.3,12247,383787805.0
week,12164,5024,noun,12155,12155,167202060.0
chance,12303,5343,noun.name.verb.unclassified,12082.186.17.4,12082,43461638.0
hands,12063,5056,noun.verb.name,11982.72.1,11982,49087727.0
police,12044,3369,noun.verb.name,11959.62.9,11959,64198152.0
word,12013,5147,noun.verb,11955.54,11955,98671341.0
face,14747,5610,noun.verb.preposition,11894.2839.2,11894,82807978.0
case,14403,4885,noun.conjunction.adverb.preposition.name.verb,11861.1990.300.160.62.28,11861,235563000.0
party,11890,3724,noun.verb.name,11809.72.7,11809,144707500.0
game,11926,3774,noun.verb.adjective.name,11721.163.23.1,11721,227111505.0
ass,11545,3379,noun.name,11537.2,11537,62060498.0
boys,11432,3747,noun.verb.name,11394.4.3,11394,53464587.0
water,11478,4127,noun.verb.name,11362.94.8,11362,215178488.0
eyes,11299,4766,noun.verb.name,11272.9.1,11272,47975295.0
story,11260,4265,noun.name,11246.1,11246,138433809.0
couple,11394,4989,noun.verb,11184.202,11184,43578199.0
home,39491,7452,adverb.noun.verb.name,28280.11099.31.2,11099,1276852170.0
trouble,11401,4785,noun.verb.name,11042.341.3,11042,24521102.0
death,11051,4278,noun.name,11024.23,11024,83216831.0
lady,11071,4129,noun.name,11013.20,11013,29348297.0
times,11221,5170,noun.preposition.verb.adverb,10997.145.63.1,10997,202950880.0
hours,10959,4859,noun,10946,10946,198242904.0
person,10857,4712,noun.name,10845.2,10845,146749448.0
point,12063,5202,noun.verb.name.adverb.adjective,10826.1053.148.19.4,10826,175527859.0
gun,10873,2976,noun.verb,10813.37,10813,22834049.0
girls,10626,3635,noun.verb.name,10629.3.2,10629,132325396.0
captain,10622,1785,noun.name.verb,10579.21.9,10579,17372103.0
mr,60098,6159,noun,10536,10536,55692230.0
matter,18900,6242,noun.verb.determiner.adjective.adverb.pronoun,10513.4277.1521.1380.1103.89,10513,66632805.0
office,10399,3975,noun.name,10388.5,10388,266789622.0
dinner,10336,3958,noun,10323,10323,25974858.0
side,10247,4725,noun.verb,10173.64,10173,141155373.0
line,10515,4539,noun.verb.preposition.name,9959.507.34.4,9959,280009597.0
women,9978,3827,noun.verb,9948.14,9948,242520455.0
body,9972,3961,noun.name,9946.1,9946,136560842.0
husband,9935,3377,noun.verb.name,9857.48.4,9857,23064889.0
truth,9801,4193,noun,9787,9787,35345925.0
look,99311,8290,verb.noun.name,89292.9750.5,9750,173043002.0
dog,9835,3049,noun.verb.name,9735.86.4,9735,77271631.0
moment,9539,4391,noun,9526,9526,35660913.0
bed,9543,4113,noun.verb,9495.29,9495,64262881.0
reason,9858,4828,noun.verb.preposition,9488.334.26,9488,65066679.0
blood,9492,3526,noun.name.verb,9460.14.11,9460,61348302.0
question,10116,4587,noun.verb,9391.718,9391,130644510.0
daddy,9439,2645,noun.name,9381.13,9381,9211193.0
help,46977,7745,verb.noun.name,37660.9218.8,9218,611054034.0
sister,9207,3046,noun.name,9170.9,9170,25039506.0
show,24906,6630,verb.noun.name,15690.9164.8,9164,247541986.0
end,13559,5673,noun.verb.name,9153.4327.33,9153,220812328.0
rest,10861,5142,noun.verb,9099.1757,9099,53312008.0
deal,13330,5231,noun.verb.adverb,9068.3702.546,9068,63828244.0
children,8930,3276,noun.verb,8908.2,8908,206538107.0
war,8912,2546,noun.name,8905.3,8905,126517399.0
book,9026,3244,noun.verb.name,8749.246.11,8749,330959949.0
daughter,8739,2993,noun,8722,8722,27936967.0
city,8624,3321,noun.name,8609.7,8609,390564835.0
second,14513,5734,noun.number.verb.name,8473.5969.51.18,8473,159343399.0
news,8399,3976,noun.name,8382.3,8382,755424983.0
months,8314,4025,noun,8308,8308,111192257.0
hour,8277,4343,noun,8274,8274,71765763.0
call,43931,7556,verb.noun.name,35593.8262.5,8262,199608869.0
country,8254,3298,noun.name,8228.6,8228,188691168.0
