Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Preposition_freq
favor,3609,2370,3569,2366,70.76,3.5575,28.25,3.3749,Noun,3223.0,0.89,Noun.Preposition.Verb.Name,3223.181.162.38,181
alone,15735,5920,15212,5872,308.53,4.1969,70.58,3.7724,Adjective,9585.0,0.61,Adjective.Adverb.Preposition,9585.5945.179,179
let,123381,8307,56197,8112,2419.24,5.0913,99.03,3.9195,Verb,121604.0,1.0,Verb.Noun.Preposition.Name,121604.228.179.3,179
concerning,250,219,236,206,4.9,2.3997,2.61,2.3424,Preposition,172.0,0.69,Preposition.Verb,172.78,172
subject,1885,1361,1772,1307,36.96,3.2755,16.23,3.1342,Noun,1673.0,0.89,Noun.Preposition.Verb.Adjective,1673.171.27.6,171
via,180,156,150,133,3.53,2.2577,1.86,2.1959,Preposition,166.0,0.92,Preposition.Unclassified,166.14,166
case,14403,4885,14006,4849,282.41,4.1585,58.24,3.689,Noun,11861.0,0.82,Noun.Conjunction.Adverb.Preposition.Name.Verb,11861.1990.300.160.62.28,160
contact,3305,1826,3084,1766,64.8,3.5193,21.77,3.2617,Noun,1912.0,0.58,Noun.Verb.Preposition.Name,1912.1223.160.1,160
light,8425,3924,7737,3767,165.2,3.9256,46.78,3.5938,Noun,5589.0,0.66,Noun.Adjective.Verb.Preposition.Adverb.Name,5589.1591.1067.145.14.3,145
times,11221,5170,10433,5021,220.02,4.0501,61.64,3.7136,Noun,10997.0,0.98,Noun.Preposition.Verb.Adverb,10997.145.63.1,145
ex,640,351,511,318,12.55,2.8069,4.18,2.5465,Noun,478.0,0.75,Noun.Preposition.Adverb.Adjective,478.144.11.4,144
opposed,352,286,335,276,6.9,2.5478,3.41,2.4579,Verb,198.0,0.56,Verb.Preposition.Adjective,198.144.10,144
search,2467,1549,2172,1412,48.37,3.3923,18.47,3.1903,Noun,1387.0,0.56,Noun.Verb.Preposition,1387.945.134,134
considering,973,838,803,713,19.08,2.9886,9.99,2.9238,Conjunction,512.0,0.53,Conjunction.Verb.Preposition.Adverb,512.321.133.7,133
alongside,192,161,188,158,3.76,2.2856,1.92,2.2095,Preposition,111.0,0.58,Preposition.Adverb,111.81,111
the,1501908,8388,1339811,8388,29449.18,6.1766,100.0,3.9237,Article,1499459.0,1.0,Article.Adverb.Noun.Preposition.Adjective,1499459.774.147.105.1,105
post,1654,1005,1205,835,32.43,3.2188,11.98,3.0026,Noun,1461.0,0.89,Noun.Preposition.Name.Verb.Adjective.Adverb,1461.102.34.33.7.1,102
view,1965,1412,1904,1376,38.53,3.2936,16.83,3.1501,Noun,1724.0,0.88,Noun.Verb.Preposition.Name,1724.144.94.5,94
way,72661,8222,71259,8206,1424.73,4.8613,98.02,3.915,Noun,71592.0,0.99,Noun.Adverb.Preposition.Name,71592.899.94.6,94
contrary,454,409,411,371,8.9,2.658,4.88,2.6128,Noun,333.0,0.73,Noun.Preposition.Adjective,333.91.30,91
possession,680,522,630,493,13.33,2.8331,6.22,2.7185,Noun,593.0,0.88,Noun.Preposition,593.84,84
return,4676,2611,4311,2508,91.69,3.67,31.13,3.417,Verb,3398.0,0.73,Verb.Noun.Preposition.Adjective,3398.1168.84.22,84
chez,86,52,7,3,1.69,1.9395,0.62,1.7243,Preposition,83.0,0.98,Preposition.Adverb,83.2,83
pending,174,153,155,140,3.41,2.243,1.82,2.1875,Adjective,100.0,0.57,Adjective.Preposition,100.75,75
regard,375,316,371,314,7.35,2.5752,3.77,2.5011,Noun,160.0,0.43,Noun.Verb.Preposition,160.139.75,75
back,102467,8273,98533,8267,2009.16,5.0106,98.63,3.9177,Adverb,77642.0,0.76,Adverb.Noun.Verb.Adjective.Preposition.Name,77642.21861.2424.354.72.2,72
common,2275,1652,2171,1606,44.61,3.3572,19.69,3.2183,Adjective,1662.0,0.73,Adjective.Adverb.Preposition.Noun,1662.537.72.2,72
accordance,81,66,81,66,1.59,1.9138,0.79,1.8261,Preposition,71.0,0.88,Preposition.Noun,71.10,71
connection,1386,1008,1356,988,27.18,3.1421,12.02,3.0039,Noun,1314.0,0.95,Noun.Preposition,1314.70,70
pursuit,359,282,337,270,7.04,2.5563,3.36,2.4518,Noun,290.0,0.81,Noun.Preposition,290.69,69
less,5666,3527,5310,3392,111.1,3.7534,42.05,3.5475,Adverb,2832.0,0.5,Adverb.Determiner.Preposition.Noun,2832.2772.55.1,55
a,1041179,8382,976941,8380,20415.27,6.0175,99.93,3.9234,Article,993445.0,0.96,Article.Adverb.Letter.To.Noun.Preposition.Adjective,993445.33186.6441.744.257.52.5,52
atop,52,46,43,40,1.02,1.7243,0.55,1.6721,Preposition,52.0,1.0,Preposition,52,52
